title,URL,BibTeX,bibtex_type,bibtex_title,bibtex_year,language,C3_label,C4_label,C5_label
A software defect location method based on static analysis results,https://ieeexplore.ieee.org/abstract/document/9914475/,"@inproceedings{shi2022software,
  title={A software defect location method based on static analysis results},
  author={Shi, Haoxiang and Liu, Wu and Liu, Jingyu and Ai, Jun and Yang, Chunhui},
  booktitle={2022 9th International Conference on Dependable Systems and Their Applications (DSA)},
  pages={876--886},
  year={2022},
  organization={IEEE}
}",inproceedings,A software defect location method based on static analysis results,2022,en,1,0,0
An unbiased transformer source code learning with semantic vulnerability graph,https://ieeexplore.ieee.org/abstract/document/10190505/,"@inproceedings{islam2023unbiased,
  title={An unbiased transformer source code learning with semantic vulnerability graph},
  author={Islam, Nafis Tanveer and Parra, Gonzalo De La Torre and Manuel, Dylan and Bou-Harb, Elias and Najafirad, Peyman},
  booktitle={2023 IEEE 8th European Symposium on Security and Privacy (EuroS\&P)},
  pages={144--159},
  year={2023},
  organization={IEEE}
}",inproceedings,An unbiased transformer source code learning with semantic vulnerability graph,2023,en,1,0,0
Software defect detection based on source code structuring,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13259/132592I/Software-defect-detection-based-on-source-code-structuring/10.1117/12.3039541.short,"@inproceedings{li2024software,
  title={Software defect detection based on source code structuring},
  author={Li, Hongchang and Xie, Wenguang},
  booktitle={International Conference on Automation Control, Algorithm, and Intelligent Bionics (ACAIB 2024)},
  volume={13259},
  pages={620--626},
  year={2024},
  organization={SPIE}
}",inproceedings,Software defect detection based on source code structuring,2024,en,1,0,0
Understanding vulnerabilities in plugin-based web systems: an exploratory study of wordpress,https://dl.acm.org/doi/abs/10.1145/3233027.3233042,"@inproceedings{mesa2018understanding,
  title={Understanding vulnerabilities in plugin-based web systems: an exploratory study of wordpress},
  author={Mesa, Oslien and Vieira, Reginaldo and Viana, Marx and Durelli, Vinicius HS and Cirilo, Elder and Kalinowski, Marcos and Lucena, Carlos},
  booktitle={Proceedings of the 22nd International Systems and Software Product Line Conference-Volume 1},
  pages={149--159},
  year={2018}
}",inproceedings,Understanding vulnerabilities in plugin-based web systems: an exploratory study of wordpress,2018,en,0,,
Vulnerability Management Process,https://www.theseus.fi/handle/10024/750130,"@article{nikumaa2022vulnerability,
  title={Vulnerability Management Process},
  author={Nikumaa, Tiina},
  year={2022}
}",article,Vulnerability Management Process,2022,en,0,,
The second static analysis tool exposition (SATE) 2009,https://www.academia.edu/download/115384218/nist.sp.pdf,"@article{okun2010second,
  title={The second static analysis tool exposition (SATE) 2009},
  author={Okun, Vadim and Delaitre, Aurelien and Black, Paul E},
  journal={NIST special publication},
  pages={500--287},
  year={2010}
}",article,The second static analysis tool exposition (SATE) 2009,2010,en,0,,
Empowering hardware security with llm: The development of a vulnerable hardware database,https://ieeexplore.ieee.org/abstract/document/10545393/,"@inproceedings{saha2024empowering,
  title={Empowering hardware security with llm: The development of a vulnerable hardware database},
  author={Saha, Dipayan and Yahyaei, Katayoon and Saha, Sujan Kumar and Tehranipoor, Mark and Farahmandi, Farimah},
  booktitle={2024 IEEE International Symposium on Hardware Oriented Security and Trust (HOST)},
  pages={233--243},
  year={2024},
  organization={IEEE}
}",inproceedings,Empowering hardware security with llm: The development of a vulnerable hardware database,2024,en,1,0,0
Software Assurance MeasurementâState of the Practice,https://resources.sei.cmu.edu/asset_files/technicalnote/2013_004_001_72891.pdf,"@article{shoemaker2013software,
  title={Software Assurance MeasurementâState of the Practice},
  author={Shoemaker, Dan and Mead, Nancy R},
  journal={Software Engineering Institute, Technical Note},
  year={2013}
}",article,Software Assurance MeasurementâState of the Practice,2013,en,0,,
EVALUATING SECURITY TOOLS IN THE CONTEXT OF DEVSECOPS,https://trepo.tuni.fi/bitstream/handle/10024/156209/AdhikariNikesh.pdf?sequence=2,"@article{adhikari2024evaluating,
  title={EVALUATING SECURITY TOOLS IN THE CONTEXT OF DEVSECOPS},
  author={Adhikari, Nikesh Bahadur},
  year={2024}
}",article,EVALUATING SECURITY TOOLS IN THE CONTEXT OF DEVSECOPS,2024,en,0,,
âª With a Little Help from My (LLM) Friends: Enhancing Static Analysis with LLMs to Detect Software Vulnerabilities,https://ieeexplore.ieee.org/abstract/document/11028575/,"@inproceedings{munson2025little,
  title={âª With a Little Help from My (LLM) Friends: Enhancing Static Analysis with LLMs to Detect Software Vulnerabilities},
  author={Munson, Amy and Gomez, Juanita and C{\'a}rdenas, {\'A}lvaro A},
  booktitle={2025 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code)},
  pages={25--32},
  year={2025},
  organization={IEEE}
}",inproceedings,âª With a Little Help from My (LLM) Friends: Enhancing Static Analysis with LLMs to Detect Software Vulnerabilities,2025,en,0,,
Data-driven threat analysis for ensuring security in cloud enabled systems,https://www.mdpi.com/1424-8220/22/15/5726,"@article{alwaheidi2022data,
  title={Data-driven threat analysis for ensuring security in cloud enabled systems},
  author={Alwaheidi, Mohammed KS and Islam, Shareeful},
  journal={Sensors},
  volume={22},
  number={15},
  pages={5726},
  year={2022},
  publisher={MDPI}
}",article,Data-driven threat analysis for ensuring security in cloud enabled systems,2022,en,1,0,0
Double level Code Scanning Leveraging network virtualization to decrease risks of memory starvation and insecure programming,https://www.researchsquare.com/article/rs-3093893/latest,"@article{albibrahim2023double,
  title={Double level Code Scanning Leveraging network virtualization to decrease risks of memory starvation and insecure programming},
  author={Albibrahim, Thikra and Hendaoui, Saloua},
  year={2023}
}",article,Double level Code Scanning Leveraging network virtualization to decrease risks of memory starvation and insecure programming,2023,en,1,0,0
An analysis on the impact and detection of kernel stack infoleaks,https://academic.oup.com/jigpal/article-abstract/24/6/899/2662348,"@article{peiro2016analysis,
  title={An analysis on the impact and detection of kernel stack infoleaks},
  author={Peir{\'o}, Salva and Mu{\~n}oz, Manuel and Crespo, Alfons},
  journal={Logic Journal of the IGPL},
  volume={24},
  number={6},
  pages={899--915},
  year={2016},
  publisher={Oxford University Press}
}",article,An analysis on the impact and detection of kernel stack infoleaks,2016,en,1,0,0
INDICT: Code generation with internal dialogues of critiques for both security and helpfulness,https://proceedings.neurips.cc/paper_files/paper/2024/hash/9b812ee4b831c21e14156ced8659197c-Abstract-Conference.html,"@article{le2024indict,
  title={INDICT: Code generation with internal dialogues of critiques for both security and helpfulness},
  author={Le, Hung and Sahoo, Doyen and Zhou, Yingbo and Xiong, Caiming and Savarese, Silvio},
  journal={Advances in Neural Information Processing Systems},
  volume={37},
  pages={85546--85582},
  year={2024}
}",article,INDICT: Code generation with internal dialogues of critiques for both security and helpfulness,2024,en,1,0,0
"Security Evaluation of AI-Generated Code: A Comparative Study of ChatGPT, Copilot, And Gemini through Static and Dynamic Analysis",https://dergipark.org.tr/en/pub/gmbd/issue/94345/1720932,"@article{ceran2025security,
  title={Security Evaluation of AI-Generated Code: A Comparative Study of ChatGPT, Copilot, And Gemini through Static and Dynamic Analysis},
  author={Ceran, Onur},
  journal={Gazi Journal of Engineering Sciences},
  volume={11},
  number={2},
  pages={304--320},
  year={2025},
  publisher={Parantez Teknoloji}
}",article,"Security Evaluation of AI-Generated Code: A Comparative Study of ChatGPT, Copilot, And Gemini through Static and Dynamic Analysis",2025,en,0,,
A security-evaluation framework for mobile cross-border e-government solutions,https://dl.acm.org/doi/abs/10.1145/3598469.3598529,"@inproceedings{zefferer2023security,
  title={A security-evaluation framework for mobile cross-border e-government solutions},
  author={Zefferer, Thomas and Prunster, Bernd and Kollmann, Christian and Corici, Andreea Ancuta and Alber, Lukas and Czerny, Roland and Podgorelec, Blaz},
  booktitle={Proceedings of the 24th Annual International Conference on Digital Government Research},
  pages={536--543},
  year={2023}
}",inproceedings,A security-evaluation framework for mobile cross-border e-government solutions,2023,en,1,0,0
No More Hidden Pitfalls? Exposing Smart Contract Bad Practices with LLM-Powered Hybrid Analysis,https://arxiv.org/abs/2512.15179,"@article{li2025no,
  title={No More Hidden Pitfalls? Exposing Smart Contract Bad Practices with LLM-Powered Hybrid Analysis},
  author={Li, Xiaoqi and Li, Zongwei and Li, Wenkai and Zhang, Yuqing and Wang, Xin},
  journal={arXiv preprint arXiv:2512.15179},
  year={2025}
}",article,No More Hidden Pitfalls? Exposing Smart Contract Bad Practices with LLM-Powered Hybrid Analysis,2025,en,0,,
with Parameter-Efficient Fine-Tuning,https://books.google.com/books?hl=en&lr=&id=uJuSEQAAQBAJ&oi=fnd&pg=PA290&dq=%22CODE+REVIEW%22+AND+%22Common+Weakness+Enumeration%22&ots=qoPsmndE4g&sig=d4nRgvOnJy8dWcuu9vE28KXC5RQ,"@inproceedings{hasan2025parameter,
  title={with Parameter-Efficient Fine-Tuning},
  author={Hasan, Md Anwarul},
  booktitle={Proceedings of the Future Technologies Conference (FTC) 2025, Volume 4},
  volume={4},
  pages={290},
  year={2025},
  organization={Springer Nature}
}",inproceedings,with Parameter-Efficient Fine-Tuning,2025,en,0,,
PwnPilot: could an adversary be pair programming with our most trusted software engineers?,https://books.google.com/books?hl=en&lr=&id=j3aaEQAAQBAJ&oi=fnd&pg=PA109&dq=%22CODE+REVIEW%22+AND+%22Common+Weakness+Enumeration%22&ots=J2o7TKjYCX&sig=2aAavD32LJtlUJDclmCTbMAvAVU,"@article{horne2025pwnpilot,
  title={PwnPilot: could an adversary be pair programming with our most trusted software engineers?},
  author={Horne, Dwight},
  journal={Cybersecurity: Cyber Defense, Privacy and Cyber Warfare},
  volume={4},
  pages={109},
  year={2025},
  publisher={Walter de Gruyter GmbH \& Co KG}
}",article,PwnPilot: could an adversary be pair programming with our most trusted software engineers?,2025,en,0,,
A large-scale security-oriented static analysis of python packages in pypi,https://ieeexplore.ieee.org/abstract/document/9647791/,"@inproceedings{ruohonen2021large,
  title={A large-scale security-oriented static analysis of python packages in pypi},
  author={Ruohonen, Jukka and Hjerppe, Kalle and Rindell, Kalle},
  booktitle={2021 18th International Conference on Privacy, Security and Trust (PST)},
  pages={1--10},
  year={2021},
  organization={IEEE}
}",inproceedings,A large-scale security-oriented static analysis of python packages in pypi,2021,en,1,0,0
Optimizing AI-Assisted Code Generation,https://arxiv.org/abs/2412.10953,"@article{torka2024optimizing,
  title={Optimizing AI-Assisted Code Generation},
  author={Torka, Simon and Albayrak, Sahin},
  journal={arXiv preprint arXiv:2412.10953},
  year={2024}
}",article,Optimizing AI-Assisted Code Generation,2024,en,0,,
C3-VULMAP: A Dataset for Privacy-Aware Vulnerability Detection in Healthcare Systems,https://www.mdpi.com/2079-9292/14/13/2703,"@article{ameh2025c3,
  title={C3-VULMAP: A Dataset for Privacy-Aware Vulnerability Detection in Healthcare Systems},
  author={Ameh, Jude Enenche and Otebolaku, Abayomi and Shenfield, Alex and Ikpehai, Augustine},
  journal={Electronics},
  volume={14},
  number={13},
  pages={2703},
  year={2025},
  publisher={MDPI}
}",article,C3-VULMAP: A Dataset for Privacy-Aware Vulnerability Detection in Healthcare Systems,2025,en,1,0,0
The Experimental Comparison of Fault Detection Efficiency of Static Code Analysis Tools for Software RAMS,https://koreascience.kr/article/CFKO201132164226370.page,"@inproceedings{jang2011experimental,
  title={The Experimental Comparison of Fault Detection Efficiency of Static Code Analysis Tools for Software RAMS},
  author={Jang, Jeong-Hoon and Yun, Cha-Jung and Jang, Ju-Su and Lee, Won-Taek and Lee, Eun-Kyu},
  booktitle={Proceedings of the KSR Conference},
  pages={2493--2502},
  year={2011},
  organization={The Korean Society for Railway}
}",inproceedings,The Experimental Comparison of Fault Detection Efficiency of Static Code Analysis Tools for Software RAMS,2011,en,0,,
"LegacyGuard: Hybrid LLM, RAG, and Static Analysis for Multi-Lingual Vulnerability Detection in Legacy Codebases",https://www.academia.edu/download/122897338/LegacyGuard_Hybrid_LLM_RAG_and_Static_Analysis_for_Multi_Lingual_Vulnerability_Detection_in_Legacy_Codebases.pdf,"@article{potdar2025legacyguard,
  title={LegacyGuard: Hybrid LLM, RAG, and Static Analysis for Multi-Lingual Vulnerability Detection in Legacy Codebases},
  author={Potdar, Yash and Pawar, Sahil},
  journal={International Journal for Research in Applied Science \& Engineering Technology (IJRASET)},
  year={2025}
}",article,"LegacyGuard: Hybrid LLM, RAG, and Static Analysis for Multi-Lingual Vulnerability Detection in Legacy Codebases",2025,en,1,0,0
PASTA-4-PHT: A Pipeline for Automated Security and Technical Audits for the Personal Health Train,https://arxiv.org/abs/2412.01275,"@article{welten2024pasta,
  title={PASTA-4-PHT: A Pipeline for Automated Security and Technical Audits for the Personal Health Train},
  author={Welten, Sascha and Kindermann, Karl and Polat, Ahmet and G{\""o}rz, Martin and Jugl, Maximilian and Neumann, Laurenz and Neumann, Alexander and Lohm{\""o}ller, Johannes and Pennekamp, Jan and Decker, Stefan},
  journal={arXiv preprint arXiv:2412.01275},
  year={2024}
}",article,PASTA-4-PHT: A Pipeline for Automated Security and Technical Audits for the Personal Health Train,2024,en,1,1,0
Exploring feature space and evaluating detection strategies for C/C++ vulnerabilities with lightweight LLMs,https://www.politesi.polimi.it/handle/10589/234630,"@article{isgro2023exploring,
  title={Exploring feature space and evaluating detection strategies for C/C++ vulnerabilities with lightweight LLMs},
  author={Isgr{\`o}, Andrea},
  year={2023}
}",article,Exploring feature space and evaluating detection strategies for C/C++ vulnerabilities with lightweight LLMs,2023,en,1,0,0
Security Design for Information protection System using BSIMM,https://koreascience.kr/article/JAKO201503340570281.page,"@article{park2015security,
  title={Security Design for Information protection System using BSIMM},
  author={Park, Jung-Sup},
  journal={Journal of the Korea Institute of Information Security \& Cryptology},
  volume={25},
  number={6},
  pages={1541--1547},
  year={2015},
  publisher={Korea Institute of Information Security and Cryptology}
}",article,Security Design for Information protection System using BSIMM,2015,en,1,0,0
Starcoder 2 and the stack v2: The next generation,https://arxiv.org/abs/2402.19173,"@article{lozhkov2024starcoder,
  title={Starcoder 2 and the stack v2: The next generation},
  author={Lozhkov, Anton and Li, Raymond and Allal, Loubna Ben and Cassano, Federico and Lamy-Poirier, Joel and Tazi, Nouamane and Tang, Ao and Pykhtar, Dmytro and Liu, Jiawei and Wei, Yuxiang and others},
  journal={arXiv preprint arXiv:2402.19173},
  year={2024}
}",article,Starcoder 2 and the stack v2: The next generation,2024,en,1,0,0
New complementary points of cyber security schemes for critical digital assets at nuclear power plants,https://ieeexplore.ieee.org/abstract/document/8735864/,"@article{son2019new,
  title={New complementary points of cyber security schemes for critical digital assets at nuclear power plants},
  author={Son, Junyoung and Choi, Jonggyun and Yoon, Hyunsoo},
  journal={IEEE Access},
  volume={7},
  pages={78379--78390},
  year={2019},
  publisher={IEEE}
}",article,New complementary points of cyber security schemes for critical digital assets at nuclear power plants,2019,en,1,0,0
A Survey on SoC Security Verification Methods at the Pre-silicon Stage,https://eprint.iacr.org/2024/1280,"@article{kibria2024survey,
  title={A Survey on SoC Security Verification Methods at the Pre-silicon Stage},
  author={Kibria, Rasheed and Farahmandi, Farimah and Tehranipoor, Mark},
  journal={Cryptology ePrint Archive},
  year={2024}
}",article,A Survey on SoC Security Verification Methods at the Pre-silicon Stage,2024,en,1,0,0
"Leveraging AI/ML for anomaly detection, threat prediction, and automated response.",https://www.preprints.org/frontend/manuscript/8124a52612b96da9b74d7050c2c586c1/download_pub,"@article{ajala2024leveraging,
  title={Leveraging AI/ML for anomaly detection, threat prediction, and automated response.},
  author={Ajala, Olakunle Abayomi},
  year={2024},
  publisher={Preprints}
}",article,"Leveraging AI/ML for anomaly detection, threat prediction, and automated response.",2024,en,0,,
Do neutral prompts produce insecure code? formai-v2 dataset: Labelling vulnerabilities in code generated by large language models,https://www.researchgate.net/profile/Mohamed-Amine-Ferrag/publication/380186382_Do_Neutral_Prompts_Produce_Insecure_Code_FormAI-v2_Dataset_Labelling_Vulnerabilities_in_Code_Generated_by_Large_Language_Models/links/6630c88635243041535444c1/Do-Neutral-Prompts-Produce-Insecure-Code-FormAI-v2-Dataset-Labelling-Vulnerabilities-in-Code-Generated-by-Large-Language-Models.pdf,"@article{tihanyi2024neutral,
  title={Do neutral prompts produce insecure code? formai-v2 dataset: Labelling vulnerabilities in code generated by large language models},
  author={Tihanyi, Norbert and Bisztray, Tamas and Ferrag, Mohamed Amine and Jain, Ridhi and Cordeiro, Lucas C},
  journal={arXiv preprint arXiv:2404.18353},
  year={2024}
}",article,Do neutral prompts produce insecure code? formai-v2 dataset: Labelling vulnerabilities in code generated by large language models,2024,en,0,,
A survey on automated software vulnerability detection using machine learning and deep learning,https://arxiv.org/abs/2306.11673,"@article{harzevili2023survey,
  title={A survey on automated software vulnerability detection using machine learning and deep learning},
  author={Harzevili, Nima Shiri and Belle, Alvine Boaye and Wang, Junjie and Wang, Song and Ming, Zhen and Nagappan, Nachiappan and others},
  journal={arXiv preprint arXiv:2306.11673},
  year={2023}
}",article,A survey on automated software vulnerability detection using machine learning and deep learning,2023,en,0,,
A survey on HTTPS implementation by Android apps: issues and countermeasures,https://www.sciencedirect.com/science/article/pii/S2210832716300722,"@article{wei2017survey,
  title={A survey on HTTPS implementation by Android apps: issues and countermeasures},
  author={Wei, Xuetao and Wolf, Michael},
  journal={Applied Computing and Informatics},
  volume={13},
  number={2},
  pages={101--117},
  year={2017},
  publisher={Elsevier}
}",article,A survey on HTTPS implementation by Android apps: issues and countermeasures,2017,en,0,,
SECURITY ON THE MIS AND THE INTERFACING MODEM,https://core.ac.uk/download/pdf/225893037.pdf,"@article{koiensecurity,
  title={SECURITY ON THE MIS AND THE INTERFACING MODEM},
  author={K{\O}IEN, GEIR MYRDAHL}
}",article,SECURITY ON THE MIS AND THE INTERFACING MODEM,,en,not found,,
A Systematic Mapping Study on Teaching of Security Concepts in Programming Courses,https://ieeexplore.ieee.org/abstract/document/10803494/,"@inproceedings{torbunova2024systematic,
  title={A Systematic Mapping Study on Teaching of Security Concepts in Programming Courses},
  author={Torbunova, Alina and Ashraf, Adnan and Porres, Ivan},
  booktitle={2024 50th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)},
  pages={288--295},
  year={2024},
  organization={IEEE}
}",inproceedings,A Systematic Mapping Study on Teaching of Security Concepts in Programming Courses,2024,en,0,,
Seccodeplt: A unified platform for evaluating the security of code genai,https://arxiv.org/abs/2410.11096,"@article{yang2024seccodeplt,
  title={Seccodeplt: A unified platform for evaluating the security of code genai},
  author={Yang, Yu and Nie, Yuzhou and Wang, Zhun and Tang, Yuheng and Guo, Wenbo and Li, Bo and Song, Dawn},
  journal={arXiv preprint arXiv:2410.11096},
  year={2024}
}",article,Seccodeplt: A unified platform for evaluating the security of code genai,2024,en,1,0,0
An analysis of how many undiscovered vulnerabilities remain in information systems,https://www.sciencedirect.com/science/article/pii/S0167404823001013,"@article{spring2023analysis,
  title={An analysis of how many undiscovered vulnerabilities remain in information systems},
  author={Spring, Jonathan M},
  journal={Computers \& Security},
  volume={131},
  pages={103191},
  year={2023},
  publisher={Elsevier}
}",article,An analysis of how many undiscovered vulnerabilities remain in information systems,2023,en,1,0,0
Does the role matter? an investigation of the code quality of casual contributors in github,https://ieeexplore.ieee.org/abstract/document/7890570/,"@inproceedings{lu2016does,
  title={Does the role matter? an investigation of the code quality of casual contributors in github},
  author={Lu, Yao and Mao, Xinjun and Li, Zude and Zhang, Yang and Wang, Tao and Yin, Gang},
  booktitle={2016 23rd Asia-Pacific Software Engineering Conference (APSEC)},
  pages={49--56},
  year={2016},
  organization={IEEE}
}",inproceedings,Does the role matter? an investigation of the code quality of casual contributors in github,2016,en,0,,
Semfuzz: Semantics-based automatic generation of proof-of-concept exploits,https://dl.acm.org/doi/abs/10.1145/3133956.3134085,"@inproceedings{you2017semfuzz,
  title={Semfuzz: Semantics-based automatic generation of proof-of-concept exploits},
  author={You, Wei and Zong, Peiyuan and Chen, Kai and Wang, XiaoFeng and Liao, Xiaojing and Bian, Pan and Liang, Bin},
  booktitle={Proceedings of the 2017 ACM SIGSAC conference on computer and communications security},
  pages={2139--2154},
  year={2017}
}",inproceedings,Semfuzz: Semantics-based automatic generation of proof-of-concept exploits,2017,en,1,0,0
MulVul: Retrieval-augmented Multi-Agent Code Vulnerability Detection via Cross-Model Prompt Evolution,https://arxiv.org/abs/2601.18847,"@article{wu2026mulvul,
  title={MulVul: Retrieval-augmented Multi-Agent Code Vulnerability Detection via Cross-Model Prompt Evolution},
  author={Wu, Zihan and Xu, Jie and Peng, Yun and Chong, Chun Yong and Jia, Xiaohua},
  journal={arXiv preprint arXiv:2601.18847},
  year={2026}
}",article,MulVul: Retrieval-augmented Multi-Agent Code Vulnerability Detection via Cross-Model Prompt Evolution,2026,en,1,0,0
"Big Data: Hadoop framework vulnerabilities, security issues and attacks",https://www.sciencedirect.com/science/article/pii/S2590005619300025,"@article{bhathal2019big,
  title={Big Data: Hadoop framework vulnerabilities, security issues and attacks},
  author={Bhathal, Gurjit Singh and Singh, Amardeep},
  journal={Array},
  volume={1},
  pages={100002},
  year={2019},
  publisher={Elsevier}
}",article,"Big Data: Hadoop framework vulnerabilities, security issues and attacks",2019,en,1,0,0
Raising security awareness using cybersecurity challenges in embedded programming courses,https://ieeexplore.ieee.org/abstract/document/9392965/,"@inproceedings{gasiba2021raising,
  title={Raising security awareness using cybersecurity challenges in embedded programming courses},
  author={Gasiba, Tiago Espinha and Hodzic, Samra and Lechner, Ulrike and Pinto-Albuquerque, Maria},
  booktitle={2021 International Conference on Code Quality (ICCQ)},
  pages={79--92},
  year={2021},
  organization={IEEE}
}",inproceedings,Raising security awareness using cybersecurity challenges in embedded programming courses,2021,en,1,0,0
An assurance case based on overarching properties for a tql1 code generator,https://www.erts2020.org/uploads/program/ERTS2020_paper_61.pdf,"@article{aiello2020assurance,
  title={An assurance case based on overarching properties for a tql1 code generator},
  author={Aiello, M Anthony and Comar, Cyrille and Ruiz, Jos{\'e} F},
  journal={ERTS2020},
  year={2020}
}",article,An assurance case based on overarching properties for a tql1 code generator,2020,en,1,0,0
{V0Finder}: Discovering the correct origin of publicly reported software vulnerabilities,https://www.usenix.org/conference/usenixsecurity21/presentation/woo,"@inproceedings{woo2021v0finder,
  title={$\{$V0Finder$\}$: Discovering the correct origin of publicly reported software vulnerabilities},
  author={Woo, Seunghoon and Lee, Dongwook and Park, Sunghan and Lee, Heejo and Dietrich, Sven},
  booktitle={30th USENIX Security Symposium (USENIX Security 21)},
  pages={3041--3058},
  year={2021}
}",inproceedings,$\$V0Finder$\$: Discovering the correct origin of publicly reported software vulnerabilities,2021,en,1,0,0
Managing Security Work in Scrum: Tensions and Challenges.,https://publica-rest.fraunhofer.de/server/api/core/bitstreams/51736192-d955-4f16-aee8-796e427eb848/content,"@article{turpe2017managing,
  title={Managing Security Work in Scrum: Tensions and Challenges.},
  author={T{\""u}rpe, Sven and Poller, Andreas},
  journal={SecSE@ ESORICS},
  volume={2017},
  pages={34--49},
  year={2017}
}",article,Managing Security Work in Scrum: Tensions and Challenges.,2017,en,1,0,0
Mitigating the authentication vulnerabilities in Web applications through security requirements,https://ieeexplore.ieee.org/abstract/document/6141435/,"@inproceedings{kumar2011mitigating,
  title={Mitigating the authentication vulnerabilities in Web applications through security requirements},
  author={Kumar, R},
  booktitle={2011 World Congress on Information and Communication Technologies},
  pages={1294--1298},
  year={2011},
  organization={IEEE}
}",inproceedings,Mitigating the authentication vulnerabilities in Web applications through security requirements,2011,en,0,,
Trustworthy integrated circuits: From safety to security and beyond,https://ieeexplore.ieee.org/abstract/document/10530017/,"@article{rama2024trustworthy,
  title={Trustworthy integrated circuits: From safety to security and beyond},
  author={Rama, Enkele and Ayache, Mouadh and Buchty, Rainer and Bauer, Bernhard and Korb, Matthias and Berekovic, Mladen and Mulhem, Saleh},
  journal={IEEe Access},
  volume={12},
  pages={69603--69632},
  year={2024},
  publisher={IEEE}
}",article,Trustworthy integrated circuits: From safety to security and beyond,2024,en,0,,
Double Level Code Scanning Leveraging Network virtualization and Machine Learning to Mitigate Memory Starvation Risks and Insecure Programming,https://www.researchsquare.com/article/rs-3129264/latest,"@article{alibrahim2023double,
  title={Double Level Code Scanning Leveraging Network virtualization and Machine Learning to Mitigate Memory Starvation Risks and Insecure Programming},
  author={Alibrahim, Thikra and Hendaoui, Saloua},
  year={2023}
}",article,Double Level Code Scanning Leveraging Network virtualization and Machine Learning to Mitigate Memory Starvation Risks and Insecure Programming,2023,en,1,0,0
Evaluating vulnerability prediction models,https://orbilu.uni.lu/handle/10993/36869,"@article{jimenez2018evaluating,
  title={Evaluating vulnerability prediction models},
  author={Jimenez, Matthieu},
  year={2018},
  publisher={Unilu-University of Luxembourg, Luxembourg}
}",article,Evaluating vulnerability prediction models,2018,en,1,0,0
Towards explainable vulnerability detection with large language models,https://ieeexplore.ieee.org/abstract/document/11146900/,"@article{mao2025towards,
  title={Towards explainable vulnerability detection with large language models},
  author={Mao, Qiheng and Li, Zhenhao and Hu, Xing and Liu, Kui and Xia, Xin and Sun, Jianling},
  journal={IEEE Transactions on Software Engineering},
  year={2025},
  publisher={IEEE}
}",article,Towards explainable vulnerability detection with large language models,2025,en,1,0,0
Nofuneval: Funny how code lms falter on requirements beyond functional correctness,https://arxiv.org/abs/2401.15963,"@article{singhal2024nofuneval,
  title={Nofuneval: Funny how code lms falter on requirements beyond functional correctness},
  author={Singhal, Manav and Aggarwal, Tushar and Awasthi, Abhijeet and Natarajan, Nagarajan and Kanade, Aditya},
  journal={arXiv preprint arXiv:2401.15963},
  year={2024}
}",article,Nofuneval: Funny how code lms falter on requirements beyond functional correctness,2024,en,1,0,0
Software trustworthiness best practices,https://www.iiconsortium.org/pdf/Software_Trustworthiness_Best_Practices_Whitepaper_2020_03_23.pdf,"@article{buchheit2020software,
  title={Software trustworthiness best practices},
  author={Buchheit, Marcellus and Hermeling, Mark and Hirsch, Frederick and Martin, Bob and Rix, Simon},
  journal={Industrial Internet Consortium},
  year={2020}
}",article,Software trustworthiness best practices,2020,en,0,,
An exploratory study gathering security requirements for the software development process,https://www.mdpi.com/2079-9292/12/17/3594,"@article{andrade2023exploratory,
  title={An exploratory study gathering security requirements for the software development process},
  author={Andrade, Roberto and Torres, Jenny and Ortiz-Garc{\'e}s, Iv{\'a}n and Mi{\~n}o, Jorge and Almeida, Luis},
  journal={Electronics},
  volume={12},
  number={17},
  pages={3594},
  year={2023},
  publisher={MDPI}
}",article,An exploratory study gathering security requirements for the software development process,2023,en,1,0,0
What Patterns Should We Use?,https://apps.dtic.mil/sti/html/trecms/AD1126944/,"@article{woody2021patterns,
  title={What Patterns Should We Use?},
  author={Woody, Carol and Ellison, Robert and Weinstock, Chuck},
  year={2021}
}",article,What Patterns Should We Use?,2021,en,not found,,
Detecting Logic Vulnerabilities in E-commerce Applications.,http://www.cs.ucdavis.edu/~su/publications/ndss14.pdf,"@inproceedings{sun2014detecting,
  title={Detecting Logic Vulnerabilities in E-commerce Applications.},
  author={Sun, Fangqi and Xu, Liang and Su, Zhendong},
  booktitle={NDSS},
  year={2014}
}",inproceedings,Detecting Logic Vulnerabilities in E-commerce Applications.,2014,en,1,0,0
SECCODEPLT: A Unified Evaluation Platform for Code GenAI Security Risks,https://link.springer.com/chapter/10.1007/978-981-95-0681-1_9,"@inproceedings{nabith2025seccodeplt,
  title={SECCODEPLT: A Unified Evaluation Platform for Code GenAI Security Risks},
  author={Nabith, Muhammed Abeed},
  booktitle={International Conference on Emerging Trends and Technologies on Intelligent Systems},
  pages={92--104},
  year={2025},
  organization={Springer}
}",inproceedings,SECCODEPLT: A Unified Evaluation Platform for Code GenAI Security Risks,2025,en,1,0,0
Vulnerability Management of Open-Source Libraries,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1741037,"@article{kumar2023vulnerability,
  title={Vulnerability Management of Open-Source Libraries},
  author={Kumar, Mekala Lokesh and Krishna, Kandukuri Sai},
  year={2023}
}",article,Vulnerability Management of Open-Source Libraries,2023,en,0,,
