title,url,bibtex,bibtex_type,bibtex_title,bibtex_year,language
Smart Differ-A better tool for code review,https://www.researchgate.net/profile/Ramakrishna-Rajanna/publication/308982839_Smart_Differ_-A_better_tool_for_code_review/links/57fc75d608ae6ce92eb2b960/Smart-Differ-A-better-tool-for-code-review.pdf,"@article{velayuthamsmart,
  title={Smart Differ-A better tool for code review},
  author={Velayutham, Arul Siva Murugan and Rajanna, Ramakrishna and Yamparala, Devesh}
}",article,Smart Differ-A better tool for code review,,en
Automatic code review by learning the revision of source code.(2019),https://core.ac.uk/download/pdf/275589789.pdf,"@inproceedings{shi2019automatic,
  title={Automatic code review by learning the revision of source code.(2019)},
  author={SHI, Shu-Ting and LI, Ming and LO, David and THUNG, Ferdian and HUO, Xuan},
  booktitle={Proceedings of the 33rd AAAI Conference on Artificial Intelligence (AAAI 2019), Honolulu, Hawaii, January},
  pages={4910--4917}
}",inproceedings,Automatic code review by learning the revision of source code.(2019),,en
Improving CodeDiffVis for Code Review Visualizations,https://capuana.ifi.uzh.ch/publications/PDFs/22544_Improving_CodeDiffVis_for_Code_Review_Visualizations.pdf,"@article{botschen2022improving,
  title={Improving CodeDiffVis for Code Review Visualizations},
  author={Botschen, Raffael and Bacchelli, Alberto and Fregnan, Enrico},
  year={2022}
}",article,Improving CodeDiffVis for Code Review Visualizations,2022,en
Review sharing via deep semi-supervised code clone detection,https://ieeexplore.ieee.org/abstract/document/8959206/,"@article{guo2020review,
  title={Review sharing via deep semi-supervised code clone detection},
  author={Guo, Chenkai and Yang, Hui and Huang, Dengrong and Zhang, Jianwen and Dong, Naipeng and Xu, Jing and Zhu, Jingwen},
  journal={IEEE Access},
  volume={8},
  pages={24948--24965},
  year={2020},
  publisher={IEEE}
}",article,Review sharing via deep semi-supervised code clone detection,2020,en
Only time will tell: Modelling information diffusion in code review with time-varying hypergraphs,https://dl.acm.org/doi/abs/10.1145/3544902.3546254,"@inproceedings{dorner2022only,
  title={Only time will tell: Modelling information diffusion in code review with time-varying hypergraphs},
  author={Dorner, Michael and Smite, Darja and Mendez, Daniel and Wnuk, Krzysztof and Czerwonka, Jacek},
  booktitle={Proceedings of the 16th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement},
  pages={195--204},
  year={2022}
}",inproceedings,Only time will tell: Modelling information diffusion in code review with time-varying hypergraphs,2022,en
Towards Interpretable Models to Predict Large Code Review Effort: A Multi-Objective Approach,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5324275,"@article{chouchen5324275towards,
  title={Towards Interpretable Models to Predict Large Code Review Effort: A Multi-Objective Approach},
  author={Chouchen, Moataz and Oukhay, Issam and Nwiran, Belal and Ouni, Ali},
  journal={Available at SSRN 5324275}
}",article,Towards Interpretable Models to Predict Large Code Review Effort: A Multi-Objective Approach,,en
CodeDoctor: multi-category code review comment generation,https://link.springer.com/article/10.1007/s10515-025-00491-y,"@article{li2025codedoctor,
  title={CodeDoctor: multi-category code review comment generation},
  author={Li, Yingling and Wu, Yuhan and Wang, Ziâao and Huang, Lei and Wang, Junjie and Li, Jianping and Huang, Minying},
  journal={Automated Software Engineering},
  volume={32},
  number={1},
  pages={25},
  year={2025},
  publisher={Springer}
}",article,CodeDoctor: multi-category code review comment generation,2025,en
AI-Assisted Code Review and Defect Prediction Research in Software Engineering,https://ieeexplore.ieee.org/abstract/document/11291978/,"@inproceedings{du2025ai,
  title={AI-Assisted Code Review and Defect Prediction Research in Software Engineering},
  author={Du, Yuheng},
  booktitle={2025 3rd International Conference on Cyber Resilience (ICCR)},
  pages={1--4},
  year={2025},
  organization={IEEE}
}",inproceedings,AI-Assisted Code Review and Defect Prediction Research in Software Engineering,2025,en
Automating code review activities by large-scale pre-training,https://dl.acm.org/doi/abs/10.1145/3540250.3549081,"@inproceedings{li2022automating,
  title={Automating code review activities by large-scale pre-training},
  author={Li, Zhiyu and Lu, Shuai and Guo, Daya and Duan, Nan and Jannu, Shailesh and Jenks, Grant and Majumder, Deep and Green, Jared and Svyatkovskiy, Alexey and Fu, Shengyu and others},
  booktitle={Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering},
  pages={1035--1047},
  year={2022}
}",inproceedings,Automating code review activities by large-scale pre-training,2022,en
Search-based peer reviewers recommendation in modern code review,https://ieeexplore.ieee.org/abstract/document/7816482/,"@inproceedings{ouni2016search,
  title={Search-based peer reviewers recommendation in modern code review},
  author={Ouni, Ali and Kula, Raula Gaikovina and Inoue, Katsuro},
  booktitle={2016 IEEE International Conference on Software Maintenance and Evolution (ICSME)},
  pages={367--377},
  year={2016},
  organization={IEEE}
}",inproceedings,Search-based peer reviewers recommendation in modern code review,2016,en
Codereviewer: Pre-training for automating code review activities,https://www.academia.edu/download/95297667/2203.09095v1.pdf,"@article{li2022codereviewer,
  title={Codereviewer: Pre-training for automating code review activities},
  author={Li, Zhiyu and Lu, Shuai and Guo, Daya and Duan, Nan and Jannu, Shailesh and Jenks, Grant and Majumder, Deep and Green, Jared and Svyatkovskiy, Alexey and Fu, Shengyu and others},
  journal={arXiv preprint arXiv:2203.09095},
  year={2022}
}",article,Codereviewer: Pre-training for automating code review activities,2022,en
Deepreview: automatic code review using deep multi-instance learning,https://link.springer.com/chapter/10.1007/978-3-030-16145-3_25,"@inproceedings{li2019deepreview,
  title={Deepreview: automatic code review using deep multi-instance learning},
  author={Li, Heng-Yi and Shi, Shu-Ting and Thung, Ferdian and Huo, Xuan and Xu, Bowen and Li, Ming and Lo, David},
  booktitle={Pacific-Asia Conference on Knowledge Discovery and Data Mining},
  pages={318--330},
  year={2019},
  organization={Springer}
}",inproceedings,Deepreview: automatic code review using deep multi-instance learning,2019,en
Refactoring-aware code review,https://ieeexplore.ieee.org/abstract/document/8103453/,"@inproceedings{ge2017refactoring,
  title={Refactoring-aware code review},
  author={Ge, Xi and Sarkar, Saurabh and Witschey, Jim and Murphy-Hill, Emerson},
  booktitle={2017 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)},
  pages={71--79},
  year={2017},
  organization={IEEE}
}",inproceedings,Refactoring-aware code review,2017,en
Detecting defects with an interactive code review tool based on visualisation and machine learning,https://www.diva-portal.org/smash/record.jsf?pid=diva2:835773,"@inproceedings{axelsson2009detecting,
  title={Detecting defects with an interactive code review tool based on visualisation and machine learning},
  author={Axelsson, Stefan and Baca, Dejan and Feldt, Robert and Sidlauskas, Darius and Kacan, Denis},
  booktitle={the 21st International Conference on Software Engineering and Knowledge Engineering (SEKE 2009)},
  year={2009}
}",inproceedings,Detecting defects with an interactive code review tool based on visualisation and machine learning,2009,en
"Commentfinder: a simpler, faster, more accurate code review comments recommendation",https://dl.acm.org/doi/abs/10.1145/3540250.3549119,"@inproceedings{hong2022commentfinder,
  title={Commentfinder: a simpler, faster, more accurate code review comments recommendation},
  author={Hong, Yang and Tantithamthavorn, Chakkrit and Thongtanunam, Patanamon and Aleti, Aldeida},
  booktitle={Proceedings of the 30th ACM joint European software engineering conference and symposium on the foundations of software engineering},
  pages={507--519},
  year={2022}
}",inproceedings,"Commentfinder: a simpler, faster, more accurate code review comments recommendation",2022,en
A New Code Review Method based on Human Errors,https://ieeexplore.ieee.org/abstract/document/10062386/,"@inproceedings{huang2022new,
  title={A New Code Review Method based on Human Errors},
  author={Huang, Fuqun and Zhao, Bo and Madeira, Henrique},
  booktitle={2022 IEEE 22nd International Conference on Software Quality, Reliability and Security (QRS)},
  pages={321--332},
  year={2022},
  organization={IEEE}
}",inproceedings,A New Code Review Method based on Human Errors,2022,en
Code review analysis of software system using machine learning techniques,https://ieeexplore.ieee.org/abstract/document/7855962/,"@inproceedings{lal2017code,
  title={Code review analysis of software system using machine learning techniques},
  author={Lal, Harsh and Pahwa, Gaurav},
  booktitle={2017 11th International Conference on Intelligent Systems and Control (ISCO)},
  pages={8--13},
  year={2017},
  organization={IEEE}
}",inproceedings,Code review analysis of software system using machine learning techniques,2017,en
Predicting code review completion time in modern code review,https://arxiv.org/abs/2109.15141,"@article{chouchen2021predicting,
  title={Predicting code review completion time in modern code review},
  author={Chouchen, Moataz and Olongo, Jefferson and Ouni, Ali and Mkaouer, Mohamed Wiem},
  journal={arXiv preprint arXiv:2109.15141},
  year={2021}
}",article,Predicting code review completion time in modern code review,2021,en
Code review participation: game theoretical modeling of reviewers in gerrit datasets,https://dl.acm.org/doi/abs/10.1145/2897586.2897605,"@inproceedings{kitagawa2016code,
  title={Code review participation: game theoretical modeling of reviewers in gerrit datasets},
  author={Kitagawa, Norihito and Hata, Hideaki and Ihara, Akinori and Kogiso, Kiminao and Matsumoto, Kenichi},
  booktitle={Proceedings of the 9th International Workshop on Cooperative and Human Aspects of Software Engineering},
  pages={64--67},
  year={2016}
}",inproceedings,Code review participation: game theoretical modeling of reviewers in gerrit datasets,2016,en
Analyzing individual performance of source code review using reviewers' eye movement,https://dl.acm.org/doi/abs/10.1145/1117309.1117357,"@inproceedings{uwano2006analyzing,
  title={Analyzing individual performance of source code review using reviewers' eye movement},
  author={Uwano, Hidetake and Nakamura, Masahide and Monden, Akito and Matsumoto, Ken-ichi},
  booktitle={Proceedings of the 2006 symposium on Eye tracking research \& applications},
  pages={133--140},
  year={2006}
}",inproceedings,Analyzing individual performance of source code review using reviewers' eye movement,2006,en
Automated Code Review Using Large Language Models with Symbolic Reasoning,https://ieeexplore.ieee.org/abstract/document/11101776/,"@inproceedings{iccoz2025automated,
  title={Automated Code Review Using Large Language Models with Symbolic Reasoning},
  author={{\.I}{\c{c}}{\""o}z, B{\""u}{\c{s}}ra and Biricik, G{\""o}ksel},
  booktitle={2025 9th International Symposium on Innovative Approaches in Smart Technologies (ISAS)},
  pages={1--5},
  year={2025},
  organization={IEEE}
}",inproceedings,Automated Code Review Using Large Language Models with Symbolic Reasoning,2025,en
On The Impact of Merge Request Deviations on Code Review Practices,https://arxiv.org/abs/2506.08860,"@article{kansab2025impact,
  title={On The Impact of Merge Request Deviations on Code Review Practices},
  author={Kansab, Samah and Bordeleau, Francis and Tizghadam, Ali},
  journal={arXiv preprint arXiv:2506.08860},
  year={2025}
}",article,On The Impact of Merge Request Deviations on Code Review Practices,2025,en
How developers modify pull requests in code review,https://ieeexplore.ieee.org/abstract/document/9507319/,"@article{jiang2021developers,
  title={How developers modify pull requests in code review},
  author={Jiang, Jing and Lv, Jiangfeng and Zheng, Jiateng and Zhang, Li},
  journal={IEEE Transactions on Reliability},
  volume={71},
  number={3},
  pages={1325--1339},
  year={2021},
  publisher={IEEE}
}",article,How developers modify pull requests in code review,2021,en
Salient-class location: Help developers understand code change in code review,https://dl.acm.org/doi/abs/10.1145/3236024.3264841,"@inproceedings{huang2018salient,
  title={Salient-class location: Help developers understand code change in code review},
  author={Huang, Yuan and Jia, Nan and Chen, Xiangping and Hong, Kai and Zheng, Zibin},
  booktitle={Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering},
  pages={770--774},
  year={2018}
}",inproceedings,Salient-class location: Help developers understand code change in code review,2018,en
Autotransform: Automated code transformation to support modern code review process,https://dl.acm.org/doi/abs/10.1145/3510003.3510067,"@inproceedings{thongtanunam2022autotransform,
  title={Autotransform: Automated code transformation to support modern code review process},
  author={Thongtanunam, Patanamon and Pornprasit, Chanathip and Tantithamthavorn, Chakkrit},
  booktitle={Proceedings of the 44th international conference on software engineering},
  pages={237--248},
  year={2022}
}",inproceedings,Autotransform: Automated code transformation to support modern code review process,2022,en
Supporting Code Review by a Neural Network Using Program Images,https://link.springer.com/chapter/10.1007/978-3-031-17583-1_6,"@inproceedings{ogawa2022supporting,
  title={Supporting Code Review by a Neural Network Using Program Images},
  author={Ogawa, Kazuhiko and Nakatani, Takako},
  booktitle={Joint Conference on Knowledge-Based Software Engineering},
  pages={69--81},
  year={2022},
  organization={Springer}
}",inproceedings,Supporting Code Review by a Neural Network Using Program Images,2022,en
The upper bound of information diffusion in code review,https://link.springer.com/article/10.1007/s10664-024-10442-y,"@article{dorner2025upper,
  title={The upper bound of information diffusion in code review},
  author={Dorner, Michael and Mendez, Daniel and Wnuk, Krzysztof and Zabardast, Ehsan and Czerwonka, Jacek},
  journal={Empirical Software Engineering},
  volume={30},
  number={1},
  pages={2},
  year={2025},
  publisher={Springer}
}",article,The upper bound of information diffusion in code review,2025,en
Evaluate LLMs on Code Review Understanding: A Multi-step Reasoning Benchmark,https://link.springer.com/chapter/10.1007/978-981-95-4445-5_34,"@inproceedings{wei2025evaluate,
  title={Evaluate LLMs on Code Review Understanding: A Multi-step Reasoning Benchmark},
  author={Wei, Xue and Xin, Junchang},
  booktitle={International Conference on Neural Information Processing},
  pages={500--514},
  year={2025},
  organization={Springer}
}",inproceedings,Evaluate LLMs on Code Review Understanding: A Multi-step Reasoning Benchmark,2025,en
Corms: a github and gerrit based hybrid code reviewer recommendation approach for modern code review,https://dl.acm.org/doi/abs/10.1145/3540250.3549115,"@inproceedings{pandya2022corms,
  title={Corms: a github and gerrit based hybrid code reviewer recommendation approach for modern code review},
  author={Pandya, Prahar and Tiwari, Saurabh},
  booktitle={Proceedings of the 30th ACM joint European software engineering conference and symposium on the foundations of software engineering},
  pages={546--557},
  year={2022}
}",inproceedings,Corms: a github and gerrit based hybrid code reviewer recommendation approach for modern code review,2022,en
Using machine intelligence to prioritise code review requests,https://ieeexplore.ieee.org/abstract/document/9402093/,"@inproceedings{saini2021using,
  title={Using machine intelligence to prioritise code review requests},
  author={Saini, Nishrith and Britto, Ricardo},
  booktitle={2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)},
  pages={11--20},
  year={2021},
  organization={IEEE}
}",inproceedings,Using machine intelligence to prioritise code review requests,2021,en
D-act: Towards diff-aware code transformation for code review under a time-wise evaluation,https://ieeexplore.ieee.org/abstract/document/10123643/,"@inproceedings{pornprasit2023d,
  title={D-act: Towards diff-aware code transformation for code review under a time-wise evaluation},
  author={Pornprasit, Chanathip and Tantithamthavorn, Chakkrit and Thongtanunam, Patanamon and Chen, Chunyang},
  booktitle={2023 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)},
  pages={296--307},
  year={2023},
  organization={IEEE}
}",inproceedings,D-act: Towards diff-aware code transformation for code review under a time-wise evaluation,2023,en
Code Review Without Borders: Evaluating Synthetic vs. Real Data for Review Recommendation,https://arxiv.org/abs/2509.04810,"@article{cohen2025code,
  title={Code Review Without Borders: Evaluating Synthetic vs. Real Data for Review Recommendation},
  author={Cohen, Yogev and Ohayon, Dudi and Somkin, Romy and Aperstein, Yehudit and Apartsin, Alexander},
  journal={arXiv preprint arXiv:2509.04810},
  year={2025}
}",article,Code Review Without Borders: Evaluating Synthetic vs. Real Data for Review Recommendation,2025,en
Modeling Of Code Review Process Yield Using Bayesian Belief Networks,https://www.researchgate.net/profile/Boby-John-3/publication/262035417_Modelling_of_code_review_process_yield_using_Bayesian_belief_networks_A_case_study/links/0a85e53676c9cddd85000000/Modelling-of-code-review-process-yield-using-Bayesian-belief-networks-A-case-study.pdf,"@article{johnmodeling,
  title={Modeling Of Code Review Process Yield Using Bayesian Belief Networks},
  author={John, Boby}
}",article,Modeling Of Code Review Process Yield Using Bayesian Belief Networks,,en
Improving code review effectiveness through reviewer recommendations,https://dl.acm.org/doi/abs/10.1145/2593702.2593705,"@inproceedings{thongtanunam2014improving,
  title={Improving code review effectiveness through reviewer recommendations},
  author={Thongtanunam, Patanamon and Kula, Raula Gaikovina and Cruz, Ana Erika Camargo and Yoshida, Norihiro and Iida, Hajimu},
  booktitle={Proceedings of the 7th International Workshop on Cooperative and Human Aspects of Software Engineering},
  pages={119--122},
  year={2014}
}",inproceedings,Improving code review effectiveness through reviewer recommendations,2014,en
Enhancing Code Review through Fuzzing and Likely Invariants,https://arxiv.org/abs/2510.15512,"@article{charoenwet2025enhancing,
  title={Enhancing Code Review through Fuzzing and Likely Invariants},
  author={Charoenwet, Wachiraphan and Thongtanunam, Patanamon and Pham, Van-Thuan and Treude, Christoph},
  journal={arXiv preprint arXiv:2510.15512},
  year={2025}
}",article,Enhancing Code Review through Fuzzing and Likely Invariants,2025,en
Llama-reviewer: Advancing code review automation with large language models through parameter-efficient fine-tuning,https://ieeexplore.ieee.org/abstract/document/10299938/,"@inproceedings{lu2023llama,
  title={Llama-reviewer: Advancing code review automation with large language models through parameter-efficient fine-tuning},
  author={Lu, Junyi and Yu, Lei and Li, Xiaojia and Yang, Li and Zuo, Chun},
  booktitle={2023 IEEE 34th International Symposium on Software Reliability Engineering (ISSRE)},
  pages={647--658},
  year={2023},
  organization={IEEE}
}",inproceedings,Llama-reviewer: Advancing code review automation with large language models through parameter-efficient fine-tuning,2023,en
Cognitive-support code review tools: improved efficiency of change-based code review by guiding and assisting reviewers,https://repo.uni-hannover.de/handle/123456789/9217,"@article{baum2019cognitive,
  title={Cognitive-support code review tools: improved efficiency of change-based code review by guiding and assisting reviewers},
  author={Baum, Tobias},
  year={2019},
  publisher={Hannover: Institutionelles Repositorium der Universit{\""a}t Hannover}
}",article,Cognitive-support code review tools: improved efficiency of change-based code review by guiding and assisting reviewers,2019,en
Improving quality of code review datasetsâToken-based feature extraction method,https://link.springer.com/chapter/10.1007/978-3-030-65854-0_7,"@inproceedings{staron2021improving,
  title={Improving quality of code review datasets--Token-based feature extraction method},
  author={Staron, Miroslaw and Meding, Wilhelm and S{\""o}der, Ola and Ochodek, Miroslaw},
  booktitle={International Conference on Software Quality},
  pages={81--93},
  year={2021},
  organization={Springer}
}",inproceedings,Improving quality of code review datasets--Token-based feature extraction method,2021,en
Review on code examination proficient system in software engineering by using machine learning approach,https://ieeexplore.ieee.org/abstract/document/8597382/,"@inproceedings{ayesha2018review,
  title={Review on code examination proficient system in software engineering by using machine learning approach},
  author={Ayesha, Noor and Yethiraj, NG},
  booktitle={2018 International Conference on Inventive Research in Computing Applications (ICIRCA)},
  pages={324--327},
  year={2018},
  organization={IEEE}
}",inproceedings,Review on code examination proficient system in software engineering by using machine learning approach,2018,en
0-1 Programming Model-Based Method for Planning Code Review Using Bug Fix History,https://ieeexplore.ieee.org/abstract/document/6754348/,"@inproceedings{aman20130,
  title={0-1 Programming Model-Based Method for Planning Code Review Using Bug Fix History},
  author={Aman, Hirohisa},
  booktitle={2013 20th Asia-Pacific Software Engineering Conference (APSEC)},
  volume={2},
  pages={37--42},
  year={2013},
  organization={IEEE}
}",inproceedings,0-1 Programming Model-Based Method for Planning Code Review Using Bug Fix History,2013,en
Improving code refinement for code review via input reconstruction and ensemble learning,https://ieeexplore.ieee.org/abstract/document/10479385/,"@inproceedings{lu2023improving,
  title={Improving code refinement for code review via input reconstruction and ensemble learning},
  author={Lu, Jiawei and Tang, Zhijie and Liu, Zhongxin},
  booktitle={2023 30th Asia-Pacific Software Engineering Conference (APSEC)},
  pages={161--170},
  year={2023},
  organization={IEEE}
}",inproceedings,Improving code refinement for code review via input reconstruction and ensemble learning,2023,en
An ANOVA based Code Review Evaluation Approach,https://www.researchgate.net/profile/Sayyed-Ahmed-2/publication/262300991_An_ANOVA_based_Code_Review_Evaluation_Approach/data/02e7e53743545b4c38000000/ETRASCT14-IJERT.pdf,"@article{ahmedanova,
  title={An ANOVA based Code Review Evaluation Approach},
  author={Ahmed, Syed Usman and Ansari, Gulrez Jamal}
}",article,An ANOVA based Code Review Evaluation Approach,,en
Learning to predict code review rounds in modern code review using multi-objective genetic programming,https://dl.acm.org/doi/abs/10.1145/3712255.3726730,"@inproceedings{chouchen2025learning,
  title={Learning to predict code review rounds in modern code review using multi-objective genetic programming},
  author={Chouchen, Moataz and Oukhay, Issam and Ouni, Ali},
  booktitle={Proceedings of the Genetic and Evolutionary Computation Conference Companion},
  pages={599--602},
  year={2025}
}",inproceedings,Learning to predict code review rounds in modern code review using multi-objective genetic programming,2025,en
CReaTE: Improving Retrieval-Based Code Review Comment Generation,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5933268,"@article{heumuller5933268create,
  title={CReaTE: Improving Retrieval-Based Code Review Comment Generation},
  author={Heum{\""u}ller, Robert and Ortmeier, Frank},
  journal={Available at SSRN 5933268}
}",article,CReaTE: Improving Retrieval-Based Code Review Comment Generation,,en
Code Review DAO,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4734750,"@article{kaal2024code,
  title={Code Review DAO},
  author={Kaal, Wulf A},
  journal={Available at SSRN 4734750},
  year={2024}
}",article,Code Review DAO,2024,en
A Source Code Review Method for Discovering Security Flaws Efficiently,https://www.atlantis-press.com/proceedings/icectt-15/25842676,"@inproceedings{zhou2015source,
  title={A Source Code Review Method for Discovering Security Flaws Efficiently},
  author={Zhou, Cheng and Li, Weiwei and Li, Yong and Wang, Chen},
  booktitle={2015 International Conference on Electromechanical Control Technology and Transportation},
  pages={414--419},
  year={2015},
  organization={Atlantis Press}
}",inproceedings,A Source Code Review Method for Discovering Security Flaws Efficiently,2015,en
Retrieval-Augmented Validation of AUTOSAR ARXML: A Machine-Learning-Assisted Code-Review Framework,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1980721,"@article{mohamed2025retrieval,
  title={Retrieval-Augmented Validation of AUTOSAR ARXML: A Machine-Learning-Assisted Code-Review Framework},
  author={Mohamed, Nourhan},
  year={2025}
}",article,Retrieval-Augmented Validation of AUTOSAR ARXML: A Machine-Learning-Assisted Code-Review Framework,2025,en
Multi-perspective visualization to assist code change review,https://ieeexplore.ieee.org/abstract/document/8305982/,"@inproceedings{wang2017multi,
  title={Multi-perspective visualization to assist code change review},
  author={Wang, Chen and Xie, Xiaoyuan and Liang, Peng and Xuan, Jifeng},
  booktitle={2017 24th Asia-Pacific Software Engineering Conference (APSEC)},
  pages={564--569},
  year={2017},
  organization={IEEE}
}",inproceedings,Multi-perspective visualization to assist code change review,2017,en
Who can help to review this piece of code?,https://link.springer.com/chapter/10.1007/978-3-319-45390-3_25,"@inproceedings{kerzazi2016can,
  title={Who can help to review this piece of code?},
  author={Kerzazi, Noureddine and El Asri, Ikram},
  booktitle={Working Conference on Virtual Enterprises},
  pages={289--301},
  year={2016},
  organization={Springer}
}",inproceedings,Who can help to review this piece of code?,2016,en
CRITICAL: Collaborative Review Involving Thoughtful Intelligent Code Analysis using LLM,https://yck1130.github.io/assets/pdf/CNS-report.pdf,"@article{yangcritical,
  title={CRITICAL: Collaborative Review Involving Thoughtful Intelligent Code Analysis using LLM},
  author={Yang, Chun-Kai and Chou, Ping-Chieh and Yeh, Ting-Yu and Liu, Hung-Yu}
}",article,CRITICAL: Collaborative Review Involving Thoughtful Intelligent Code Analysis using LLM,,en
"AI Tools for Automating Code Reviews, Providing Contextual Feedback, and Improving the Efficiency of the Review Process",https://aijcst.org/index.php/aijcst/article/view/107,"@article{jangam2025ai,
  title={AI Tools for Automating Code Reviews, Providing Contextual Feedback, and Improving the Efficiency of the Review Process},
  author={Jangam, Sandeep Kumar and Karri, Nagireddy},
  journal={American International Journal of Computer Science and Technology},
  volume={7},
  number={5},
  pages={28--41},
  year={2025}
}",article,"AI Tools for Automating Code Reviews, Providing Contextual Feedback, and Improving the Efficiency of the Review Process",2025,en
Cybersecurity awareness training for industrial software developers via a serious game for code review,https://aisel.aisnet.org/wi2024/60/,"@article{iosif2024cybersecurity,
  title={Cybersecurity awareness training for industrial software developers via a serious game for code review},
  author={Iosif, Andrei Cristian and Lechner, Ulrike and Pinto-Albuquerque, Maria and Espinha Gasiba, Tiago},
  year={2024}
}",article,Cybersecurity awareness training for industrial software developers via a serious game for code review,2024,en
AI-Powered Code Review and Vulnerability Detection in DevOps Pipelines,https://www.researchgate.net/profile/Satheesh-Gopireddy/publication/387441824_AI-Powered_Code_Review_and_Vulnerability_Detection_in_DevOps_Pipelines/links/676e2982117f340ec3da6d2a/AI-Powered-Code-Review-and-Vulnerability-Detection-in-DevOps-Pipelines.pdf,"@article{gopireddy2024ai,
  title={AI-Powered Code Review and Vulnerability Detection in DevOps Pipelines},
  author={Gopireddy, Satheesh Reddy},
  journal={Journal of Scientific and Engineering Research},
  volume={11},
  number={10},
  pages={124--129},
  year={2024}
}",article,AI-Powered Code Review and Vulnerability Detection in DevOps Pipelines,2024,en
Automated Code Review: Leveraging Generative AI for Vulnerability Detection in Software Development,https://www.researchgate.net/profile/Antony-Owen/publication/390108092_Automated_Code_Review_Leveraging_Generative_AI_for_Vulnerability_Detection_in_Software_Development/links/67e03cbbe2c0ea36cd99689b/Automated-Code-Review-Leveraging-Generative-AI-for-Vulnerability-Detection-in-Software-Development.pdf,"@article{markson2023automated,
  title={Automated Code Review: Leveraging Generative AI for Vulnerability Detection in Software Development},
  author={Markson, Reed and Samson, Mike and Owen, Anthony},
  year={2023}
}",article,Automated Code Review: Leveraging Generative AI for Vulnerability Detection in Software Development,2023,en
CRScore++: Reinforcement Learning with Verifiable Tool and AI Feedback for Code Review,https://arxiv.org/abs/2506.00296,"@article{kapadnis2025crscore++,
  title={CRScore++: Reinforcement Learning with Verifiable Tool and AI Feedback for Code Review},
  author={Kapadnis, Manav Nitin and Naik, Atharva and Rose, Carolyn},
  journal={arXiv preprint arXiv:2506.00296},
  year={2025}
}",article,CRScore++: Reinforcement Learning with Verifiable Tool and AI Feedback for Code Review,2025,en
Use of Machine Learning To Generate Estimates of Code Review Time and Effort,https://www.tdcommons.org/dpubs_series/3923/,"@article{ivankovic2020use,
  title={Use of Machine Learning To Generate Estimates of Code Review Time and Effort},
  author={Ivankovi{\'c}, Marko and Petrovic, Goran},
  year={2020}
}",article,Use of Machine Learning To Generate Estimates of Code Review Time and Effort,2020,en
Understanding the online behavior of bots: a systematic code review,https://www.politesi.polimi.it/handle/10589/149915,"@article{millimaggi2018understanding,
  title={Understanding the online behavior of bots: a systematic code review},
  author={Millimaggi, Andrea},
  year={2018},
  publisher={Politecnico di Milano}
}",article,Understanding the online behavior of bots: a systematic code review,2018,en
Using metrics to track code review performance,https://dl.acm.org/doi/abs/10.1145/3084226.3084247,"@inproceedings{izquierdo2017using,
  title={Using metrics to track code review performance},
  author={Izquierdo-Cortazar, Daniel and Sekitoleko, Nelson and Gonzalez-Barahona, Jesus M and Kurth, Lars},
  booktitle={Proceedings of the 21st International Conference on Evaluation and Assessment in Software Engineering},
  pages={214--223},
  year={2017}
}",inproceedings,Using metrics to track code review performance,2017,en
AI-Assisted Fixes to Code Review Comments at Scale,https://arxiv.org/abs/2507.13499,"@article{maddila2025ai,
  title={AI-Assisted Fixes to Code Review Comments at Scale},
  author={Maddila, Chandra and Ghorbani, Negar and Saindon, James and Thakkar, Parth and Murali, Vijayaraghavan and Abreu, Rui and Shen, Jingyue and Zhou, Brian and Nagappan, Nachiappan and Rigby, Peter C},
  journal={arXiv preprint arXiv:2507.13499},
  year={2025}
}",article,AI-Assisted Fixes to Code Review Comments at Scale,2025,en
AI-Augmented Code Review Systems: A Modular Architecture for Intelligent Feedback and Continuous Learning,https://www.techrxiv.org/doi/full/10.36227/techrxiv.175695606.62787153,"@article{kondapalli2025ai,
  title={AI-Augmented Code Review Systems: A Modular Architecture for Intelligent Feedback and Continuous Learning},
  author={Kondapalli, Kalyana Krishna},
  journal={Authorea Preprints},
  year={2025},
  publisher={Authorea}
}",article,AI-Augmented Code Review Systems: A Modular Architecture for Intelligent Feedback and Continuous Learning,2025,en
